N,EMPLOYEE_ID,TRUCK_ID,DATE
4,602751,76629,2010-09-04
5,602751,70652,2010-09-05
11,602751,76629,2010-09-11
12,602751,76629,2010-09-12
18,602751,76629,2010-09-18
19,602751,76629,2010-09-19
25,602751,76629,2010-09-25
26,602751,70652,2010-09-26
32,602751,76629,2010-10-02
33,602751,70652,2010-10-03
39,602751,76629,2010-10-09
40,602751,76629,2010-10-10
46,602751,76629,2010-10-16
47,602751,76629,2010-10-17
53,602751,76629,2010-10-23
54,602751,76629,2010-10-24
60,602751,76629,2010-10-30
61,602751,4016,2010-10-31
67,602751,76629,2010-11-06
68,602751,76629,2010-11-07
1,603906,70697,2010-09-01
2,603906,70697,2010-09-02
3,603906,70697,2010-09-03
6,603906,70697,2010-09-06
7,603906,70697,2010-09-07
9,603906,70697,2010-09-09
10,603906,70697,2010-09-10
12,603906,70697,2010-09-12
16,603906,70697,2010-09-16
17,603906,70697,2010-09-17
19,603906,76631,2010-09-19
21,603906,908,2010-09-21
22,603906,70697,2010-09-22
23,603906,70697,2010-09-23
26,603906,908,2010-09-26
28,603906,908,2010-09-28
29,603906,908,2010-09-29
30,603906,70697,2010-09-30
31,603906,70697,2010-10-01
33,603906,908,2010-10-03
34,603906,4019,2010-10-04
35,603906,4019,2010-10-05
36,603906,908,2010-10-06
37,603906,70697,2010-10-07
38,603906,70697,2010-10-08
40,603906,4019,2010-10-10
42,603906,70697,2010-10-12
43,603906,4019,2010-10-13
47,603906,70697,2010-10-17
49,603906,4019,2010-10-19
50,603906,908,2010-10-20
51,603906,4019,2010-10-21
54,603906,908,2010-10-24
56,603906,908,2010-10-26
57,603906,4019,2010-10-27
58,603906,908,2010-10-28
59,603906,4019,2010-10-29
61,603906,4019,2010-10-31
62,603906,4019,2010-11-01
63,603906,70697,2010-11-02
65,603906,4019,2010-11-04
66,603906,4019,2010-11-05
68,603906,4019,2010-11-07
69,603906,4019,2010-11-08
70,603906,908,2010-11-09
1,601087,1171,2010-09-01
2,601087,1171,2010-09-02
5,601087,1171,2010-09-05
7,601087,70666,2010-09-07
8,601087,70666,2010-09-08
12,601087,1171,2010-09-12
13,601087,1171,2010-09-13
14,601087,4020,2010-09-14
22,601087,70666,2010-09-22
23,601087,70666,2010-09-23
27,601087,1171,2010-09-27
28,601087,4020,2010-09-28
30,601087,70666,2010-09-30
33,601087,1171,2010-10-03
34,601087,1171,2010-10-04
35,601087,4025,2010-10-05
36,601087,70666,2010-10-06
37,601087,70666,2010-10-07
38,601087,70666,2010-10-08
42,601087,4025,2010-10-12
43,601087,70666,2010-10-13
44,601087,70666,2010-10-14
45,601087,4020,2010-10-15
46,601087,1171,2010-10-16
47,601087,1171,2010-10-17
48,601087,76628,2010-10-18
49,601087,70666,2010-10-19
50,601087,4020,2010-10-20
54,601087,1171,2010-10-24
55,601087,1171,2010-10-25
56,601087,1171,2010-10-26
57,601087,70666,2010-10-27
58,601087,1171,2010-10-28
61,601087,70666,2010-10-31
62,601087,1171,2010-11-01
63,601087,1171,2010-11-02
64,601087,70666,2010-11-03
65,601087,70666,2010-11-04
68,601087,1171,2010-11-07
69,601087,4028,2010-11-08
70,601087,1269,2010-11-09
1,500510,393190,2010-09-01
2,500510,393190,2010-09-02
3,500510,393190,2010-09-03
7,500510,393190,2010-09-07
8,500510,393190,2010-09-08
9,500510,393190,2010-09-09
10,500510,393190,2010-09-10
14,500510,393190,2010-09-14
15,500510,393190,2010-09-15
16,500510,76632,2010-09-16
17,500510,393190,2010-09-17
20,500510,393190,2010-09-20
21,500510,76632,2010-09-21
22,500510,393190,2010-09-22
23,500510,76632,2010-09-23
24,500510,393190,2010-09-24
27,500510,393190,2010-09-27
28,500510,393190,2010-09-28
29,500510,393190,2010-09-29
30,500510,393190,2010-09-30
31,500510,70611,2010-10-01
35,500510,393190,2010-10-05
36,500510,393190,2010-10-06
38,500510,393190,2010-10-08
41,500510,76624,2010-10-11
42,500510,76624,2010-10-12
43,500510,393190,2010-10-13
44,500510,76624,2010-10-14
45,500510,76632,2010-10-15
48,500510,70611,2010-10-18
49,500510,76632,2010-10-19
51,500510,76624,2010-10-21
52,500510,70611,2010-10-22
55,500510,393190,2010-10-25
56,500510,76632,2010-10-26
57,500510,76632,2010-10-27
58,500510,76624,2010-10-28
59,500510,76632,2010-10-29
62,500510,76624,2010-11-01
63,500510,76624,2010-11-02
64,500510,76632,2010-11-03
65,500510,76624,2010-11-04
66,500510,70611,2010-11-05
69,500510,393190,2010-11-08
70,500510,76632,2010-11-09
1,603909,393193,2010-09-01
2,603909,70686,2010-09-02
5,603909,70686,2010-09-05
6,603909,393179,2010-09-06
7,603909,70686,2010-09-07
8,603909,70686,2010-09-08
9,603909,70686,2010-09-09
10,603909,70686,2010-09-10
12,603909,70686,2010-09-12
13,603909,70686,2010-09-13
14,603909,393179,2010-09-14
15,603909,70686,2010-09-15
16,603909,393193,2010-09-16
19,603909,70686,2010-09-19
20,603909,393179,2010-09-20
21,603909,70686,2010-09-21
22,603909,70686,2010-09-22
23,603909,70686,2010-09-23
26,603909,393193,2010-09-26
27,603909,70686,2010-09-27
28,603909,70686,2010-09-28
29,603909,70686,2010-09-29
30,603909,70686,2010-09-30
33,603909,393179,2010-10-03
34,603909,70686,2010-10-04
35,603909,393179,2010-10-05
36,603909,70686,2010-10-06
37,603909,70686,2010-10-07
40,603909,70686,2010-10-10
41,603909,70686,2010-10-11
42,603909,393179,2010-10-12
43,603909,70686,2010-10-13
44,603909,70686,2010-10-14
47,603909,70686,2010-10-17
48,603909,393179,2010-10-18
49,603909,393179,2010-10-19
50,603909,70686,2010-10-20
51,603909,393179,2010-10-21
54,603909,70686,2010-10-24
55,603909,70686,2010-10-25
56,603909,70686,2010-10-26
57,603909,70686,2010-10-27
58,603909,393179,2010-10-28
61,603909,393193,2010-10-31
62,603909,393179,2010-11-01
63,603909,70686,2010-11-02
64,603909,70686,2010-11-03
65,603909,70686,2010-11-04
68,603909,70686,2010-11-07
69,603909,4002,2010-11-08
70,603909,393179,2010-11-09
1,500507,393191,2010-09-01
2,500507,393191,2010-09-02
3,500507,393191,2010-09-03
6,500507,393191,2010-09-06
7,500507,393191,2010-09-07
9,500507,70683,2010-09-09
10,500507,393191,2010-09-10
13,500507,372434,2010-09-13
13,500507,70611,2010-09-13
14,500507,393191,2010-09-14
15,500507,70683,2010-09-15
16,500507,393191,2010-09-16
17,500507,393191,2010-09-17
