first,second,nonPreferred,notAssigned,missing,total
0,0,153,0,0,153
91,0,84,0,0,175
109,6,71,0,0,186
94,7,47,0,0,148
111,12,28,0,0,151
110,29,37,0,0,176
150,24,73,0,0,247
151,43,38,0,0,232
122,45,13,0,0,180
117,35,17,0,0,169
109,34,18,0,0,161
135,59,32,0,0,226
161,56,48,0,0,265
146,51,21,0,0,218
115,55,3,0,0,173
133,35,8,0,0,176
122,51,9,0,0,182
104,48,20,0,0,172
135,86,8,0,0,229
165,76,25,0,0,266
138,60,20,0,0,218
121,44,0,0,0,165
123,35,0,0,0,158
120,61,4,0,0,185
119,46,13,0,0,178
129,69,25,0,0,223
166,82,31,0,0,279
164,61,9,0,0,234
120,58,5,0,0,183
123,54,1,0,0,178
125,58,9,0,0,192
105,68,6,0,0,179
133,96,0,0,0,229
177,59,31,0,0,267
140,62,22,0,0,224
111,62,0,0,0,173
114,51,1,0,0,166
97,74,0,0,0,171
106,56,2,0,0,164
134,65,6,0,0,205
162,78,20,0,0,260
134,93,1,0,0,228
115,58,0,0,0,173
114,63,1,0,0,178
120,56,7,0,0,183
113,69,0,0,0,182
144,89,10,0,0,243
171,93,21,0,0,285
119,114,4,0,0,237
109,65,6,0,0,180
107,67,1,0,0,175
107,70,7,0,0,184
98,78,0,0,0,176
132,95,7,0,0,234
163,101,19,0,0,283
119,100,1,0,0,220
99,72,1,0,0,172
117,64,2,0,0,183
114,70,0,0,0,184
126,57,8,0,0,191
130,84,9,0,0,223
151,111,13,0,0,275
153,86,0,0,0,239
113,64,2,0,0,179
123,58,1,0,0,182
99,84,10,0,0,193
98,57,29,0,0,184
124,99,2,0,0,225
167,105,28,0,0,300
137,89,19,0,0,245
